step,turn,player_hp_before,player_block_before,enemy_hp_before,enemy_block_before,enemy_strength_before,enemy_attack_intent,enemy_block_intent,enemy_strength_intent,enemy_vulnerable_before,energy_before,hand_strike,hand_defend,hand_bash,enemy_move,action,action_name,damage_before_block,blocked_damage,damage_dealt,damage_taken,enemy_block_gained,enemy_strength_gained,enemy_block_after,enemy_strength_after,enemy_vulnerable_after,player_hp_after,enemy_hp_after,reward,total_reward_after,done,win,next_state
0,1,80,0,46,0,0,12,0,0,0,3,3,2,0,Nibbit Turn 1: Attack 12,0,Strike,6,0,6,0,0,0,0,0,0,80,40,5.95,5.95,False,False,"[80, 40, 12, 0, 0, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 1, 0, 0]"
1,1,80,0,40,0,0,12,0,0,0,2,2,2,0,Nibbit Turn 1: Attack 12,3,End Turn,0,0,0,12,0,0,0,0,0,68,40,-12.05,-6.1,False,False,"[68, 40, 6, 5, 0, 0, 0, 0, 3, 1, 3, 1, 3, 1, 0, 0, 0, 0]"
2,2,68,0,40,0,0,6,5,0,0,3,1,3,1,Nibbit Turn 2: Attack 6 + Block 5,2,Bash,8,0,8,0,0,0,0,0,2,68,32,7.95,1.85,False,False,"[68, 32, 6, 5, 0, 0, 0, 2, 1, 1, 3, 0, 3, 1, 0, 0, 0, 1]"
3,2,68,0,32,0,0,6,5,0,2,1,1,3,0,Nibbit Turn 2: Attack 6 + Block 5,1,Defend,0,0,0,0,0,0,0,0,2,68,32,-0.05,1.8,False,False,"[68, 32, 6, 5, 0, 0, 0, 2, 0, 1, 2, 0, 3, 1, 0, 0, 1, 1]"
4,2,68,5,32,0,0,6,5,0,2,0,1,2,0,Nibbit Turn 2: Attack 6 + Block 5,3,End Turn,0,0,0,1,5,0,5,0,1,67,32,-1.05,0.75,False,False,"[67, 32, 0, 0, 2, 5, 0, 1, 3, 3, 1, 1, 1, 3, 0, 0, 0, 0]"
5,3,67,0,32,5,0,0,0,2,1,3,3,1,1,Nibbit Turn 3: Gain Strength 2,3,End Turn,0,0,0,0,0,2,5,2,0,67,32,-0.05,0.7,False,False,"[67, 32, 14, 0, 0, 5, 2, 0, 3, 1, 4, 0, 3, 0, 1, 0, 0, 0]"
6,4,67,0,32,5,2,14,0,0,0,3,1,4,0,Nibbit Turn 1: Attack 12,0,Strike,6,5,1,0,0,0,0,2,0,67,31,0.95,1.65,False,False,"[67, 31, 14, 0, 0, 0, 2, 0, 2, 0, 4, 0, 3, 0, 1, 1, 0, 0]"
7,4,67,0,31,0,2,14,0,0,0,2,0,4,0,Nibbit Turn 1: Attack 12,3,End Turn,0,0,0,14,0,0,0,2,0,53,31,-14.05,-12.4,False,False,"[53, 31, 8, 5, 0, 0, 2, 0, 3, 3, 1, 1, 1, 3, 0, 0, 0, 0]"
8,5,53,0,31,0,2,8,5,0,0,3,3,1,1,Nibbit Turn 2: Attack 6 + Block 5,1,Defend,0,0,0,0,0,0,0,2,0,53,31,-0.05,-12.45,False,False,"[53, 31, 8, 5, 0, 0, 2, 0, 2, 3, 0, 1, 1, 3, 0, 0, 1, 0]"
9,5,53,5,31,0,2,8,5,0,0,2,3,0,1,Nibbit Turn 2: Attack 6 + Block 5,0,Strike,6,0,6,0,0,0,0,2,0,53,25,5.95,-6.5,False,False,"[53, 25, 8, 5, 0, 0, 2, 0, 1, 2, 0, 1, 1, 3, 0, 1, 1, 0]"
10,5,53,5,25,0,2,8,5,0,0,1,2,0,1,Nibbit Turn 2: Attack 6 + Block 5,3,End Turn,0,0,0,3,5,0,5,2,0,50,25,-3.05,-9.55,False,False,"[50, 25, 0, 0, 2, 5, 2, 0, 3, 2, 3, 0, 2, 1, 1, 0, 0, 0]"
